id,own,competing1,competing3,borrowertype,accepted,default,profit
605,,,.13430732,1,0,0,
606,.1067,.042833705,.18704545,2,0,0,
607,.070600003,.64828479,.88899285,3,1,0,706
608,.031800002,.061999999,.00019644601,2,0,0,
609,,,.18123704,2,0,0,
610,.11,,,3,1,0,1100
611,.2236,.98468983,.12571765,3,0,0,
612,.33329999,.98952079,.061800037,1,0,0,
613,.032499999,.1323,.1105859,3,1,0,325
614,.033399999,.019451991,.00048437563,2,0,0,
615,.099699996,.65832782,.77678925,3,1,0,996.99994
616,.084299996,.76539999,.015630679,3,0,0,
617,.031199999,.02,.000029604798,3,0,0,
618,,,,3,0,0,
619,.036899999,.1605,.17290273,3,1,0,369
620,.1513,.70924771,,2,1,0,1513
621,.0535,.30309999,.0055655697,3,0,0,
622,.14229999,1,.75101835,3,1,0,1423
623,.2157,1,.20711271,1,0,1,
624,.163,1,.078917339,2,0,0,
625,.034899998,.45944467,.15189764,1,1,0,348.99997
626,.055199999,.65420002,.2477511,2,1,0,552
627,.19310001,,.16551255,1,0,0,
628,,1,,3,0,0,
629,.32319999,1,,2,1,1,-10000
630,.1679,.9356029,.082288317,1,0,0,
631,.064300001,,.34671476,1,1,0,643
632,.034600001,.15700001,.0010518458,3,0,0,
633,.2782,,.34693152,3,1,1,-10000
634,.1849,.7885083,,1,1,0,1849
635,.25040001,1,.97007287,3,1,1,-10000
636,.069700003,.57259965,,2,1,0,697
637,.14579999,.73927331,.55139571,1,1,1,-10000
638,.033300001,.57300001,.22004683,3,1,0,333
